"","V1","V2","V3","V4","V5","V6","V7","V8","initiale","err_initiale"
"90",1.613,1.646,1.78,1.67966666666667,0.0884439558892146,0.0510631417408334,2012,9,1.19666666666667,0.189032625050104
"91",0.953,0.997,1.176,1.042,0.11811435137188,0.0681933525597131,2012,0,1.08666666666667,0.189032625050104
"92",1.058,1.037,1.116,1.07033333333333,0.0409186184191664,0.0236243753591733,2012,1,0.983333333333333,0.189032625050104
"93",1.219,1.101,1.267,1.19566666666667,0.0854244305414636,0.0493198179684845,2012,2,1.13666666666667,0.189032625050104
"94",1.292,1.171,0.992,1.15166666666667,0.150931551815163,0.0871403720696925,2012,3,1.01333333333333,0.189032625050104
"95",1.755,1.136,1.696,1.529,0.34162406238437,0.19723674437927,2012,4,1.24666666666667,0.189032625050104
"96",1.474,1.497,1.228,1.39966666666667,0.149111814868351,0.086089746453596,2012,5,1.08666666666667,0.189032625050104
"97",1.264,1.497,1.343,1.368,0.118494725621017,0.0684129617348448,2012,6,1.09333333333333,0.189032625050104
"98",1.845,1.185,1.387,1.47233333333333,0.33817352547669,0.195244575966772,2012,7,1.20666666666667,0.189032625050104
"99",1.543,1.139,1.271,1.31766666666667,0.206003236220534,0.11893602388586,2012,8,1.08666666666667,0.189032625050104
"100",1.613,1.646,1.78,1.67966666666667,0.0884439558892146,0.0510631417408334,2012,9,1.19666666666667,0.189032625050104
"101",1.089,1.156,1.344,1.19633333333333,0.132198083697659,0.0763245992091963,2013,0,1.08666666666667,0.189032625050104
"102",1.306,1.13,1.255,1.23033333333333,0.0905556918881047,0.05228235308825,2013,1,0.983333333333333,0.189032625050104
"103",1.544,1.393,1.638,1.525,0.123600161812192,0.0713605866941502,2013,2,1.13666666666667,0.189032625050104
"104",1.61,1.872,1.395,1.62566666666667,0.238885607212602,0.137920669629723,2013,3,1.01333333333333,0.189032625050104
"105",2.015,1.582,2.512,2.03633333333333,0.465366880357136,0.268679693646129,2013,4,1.24666666666667,0.189032625050104
"106",1.702,1.448,1.492,1.54733333333333,0.135739947448543,0.0783694951992022,2013,5,1.08666666666667,0.189032625050104
"107",1.641,1.42,1.717,1.59266666666667,0.154286529980207,0.0890773696164059,2013,6,1.09333333333333,0.189032625050104
"108",1.869,1.363,1.418,1.55,0.277627448210727,0.160288281958892,2013,7,1.20666666666667,0.189032625050104
"109",1.634,1.816,1.74,1.73,0.0914111590562116,0.0527762572880395,2013,8,1.08666666666667,0.189032625050104
"110",2.046,2.179,2.03,2.085,0.0817985329941803,0.0472264050435065,2013,9,1.19666666666667,0.189032625050104
"111",1.225,1.454,1.53,1.403,0.158767125060574,0.0916642423921855,2014,0,1.08666666666667,0.189032625050104
"112",1.31,1.338,1.368,1.33866666666667,0.0290057465570761,0.016746475582774,2014,1,0.983333333333333,0.189032625050104
"113",1.533,1.489,2.092,1.70466666666667,0.336161171662245,0.194082742950297,2014,2,1.13666666666667,0.189032625050104
"114",1.629,1.768,1.754,1.717,0.0765310394545899,0.0441852162304694,2014,3,1.01333333333333,0.189032625050104
"115",2.247,2.251,3.169,2.55566666666667,0.531166012968952,0.306668840572005,2014,4,1.24666666666667,0.189032625050104
"116",2.328,1.967,2.883,2.39266666666667,0.461411241013191,0.266395904206085,2014,5,1.08666666666667,0.189032625050104
"117",2.305,2.799,3.546,2.88333333333333,0.624783429144318,0.36071888100169,2014,6,1.09333333333333,0.189032625050104
"118",2.603,2.365,2.337,2.435,0.146164291124748,0.0843879928267839,2014,7,1.20666666666667,0.189032625050104
"119",1.911,2.108,2.288,2.10233333333333,0.188563870699912,0.108867401508032,2014,8,1.08666666666667,0.189032625050104
"120",3.085,3.649,3.908,3.54733333333333,0.420813893940461,0.24295701494526,2014,9,1.19666666666667,0.189032625050104
"121",1.152,1.368,1.426,1.31533333333333,0.144392982285613,0.0833653271916915,2015,0,1.08666666666667,0.189032625050104
"122",1.483,1.49,1.394,1.45566666666667,0.0535194668633138,0.0308994786004195,2015,1,0.983333333333333,0.189032625050104
"123",1.517,1.458,1.606,1.527,0.0745050333870136,0.0430155010819744,2015,2,1.13666666666667,0.189032625050104
